abstract,paper
Cloud computing is a rising as a new model of large – scale distributed computing. In these system a large amount of data is used that is distributed between many systems. Dividing the data and allocate them to different systems is the main challenge because the performance of the system has been directly propose to the distributed data. Hear the one method is proposed for managing data distribution called Divisible Load Theory (DLT). Since many years divisible load theory has become a popular area of research. According to the divisible load theory the computations and communications can be divided into some arbitrarily independent parts and each part can be processed independently by a processor. In some situation the fraction of load mast be allocated based on some priorities but some existing divisible load scheduling algorithm do not consider any priority for allocating fraction of load so this paper proposes model that consider many criteria with different priorities for allocating fractions of load to processors. Experimental result indicates that the existing algorithm can handle the priority of processors using the Analytical Hierarchy Process.,A Review on Divisible Load Scheduling and Allocation on Cloud Computing
"With the growing reliance on the Internet, and the devices connected to the global network and the increasing likelihood of attacks and cybercrime is cyber security the essential foundation of e-learning safe, so can not imagine the growth of any information activity away from achieving, and e-learning in the modern time faces many challenges, Perhaps the most important explosion information and knowledge , The most world's universities and all colleges currently provide advanced technological technologies for computer, internet and other multimedia for the development of education, and became the system Blackboard from educational systems which take an important part of the educational technological environment. It is a familiar means for most educational purposes, as well as providing and presenting courses and discussions . It also works to break the Inertia between the teacher and the student, thus developing the educational process and making it more comfortable. employment the e-learning using system safe Blackboard become The language of the age and has a significant impact in improving the quality of education, and communication between students electronically and linking it to cyber security has a significant role in maintaining the development and quality of e-learning, hence the importance of research has reached several results and recommendations was one of the most important: The linking of e-learning (Blackboard) to cybersecurity creates a safe education and provides a great opportunity to give the opportunity to education to many groups of society, providing data and information that circulates through networks for e-learning makes it more effective, As a Blackboard Collaborate tool to provide online lessons and lectures as it transcends places and times intervals, it helped distance training and spread education and made learners able to learn very effectively.",E-Learning using the Blackboard system in Light of the Quality of Education and Cyber security
"The electric grid is one of the mostcomplex and important infrastructures ever created, and is vital to modern quality of life and the economy. Generation of electricity is also a significant source of greenhouse gas emissions. Modernization of the grid is central to many nations’ efforts to address climate change and improve energy efficiency and reliability. The smart grid represents the integration of information and communications technologies into the existing power system to provide measurement and control needed for increased use of distributed and renewable generation, enabling dynamic management of demand as well as generation, improving reliability, and support for electric vehicles. Keywords- Interagency Report (IR), Field Message Bus (FMB), Federal Information Processing Standard(FIPS)",CYBER SECURITY IN SMART GRID
"Nowadays cyber security is becoming an ever more stringent requirement and warned by organizations and companies all over the world. Furthermore, the educational offer on the topic is still modest and universities are struggling to design training courses capable of producing professionals directly employable. In this work, this need is addressed with the proposal of an integrated model ""The Hack Space"", developed within the Master of Science in Computer Security of the University of Bari, composed of four main elements: Organization, Knowledge, Skills/Tools and Collaboration. The Hack Space aims to create professionals capable of dealing with security at various levels, with clear ideas on what are the processes, functions and controls useful for security, using an in-depth knowledge structure of the company.",Teaching Cyber Security: The Hack-Space Integrated Model
"Mobile cloud computing in light of the increasing popularity among users of mobile smart technology which is the next indispensable that enables users to take advantage of the storage cloud computing services. However, mobile cloud computing, the migration of information on the cloud is reliable their privacy and security issues. Moreover, mobile cloud computing has limitations in resources such as power energy, processor, Memory and storage. In this paper, we propose a solution to the problem of privacy with saving and reducing resources power energy, processor and Memory. This is done through data encryption in the mobile cloud computing by symmetric algorithm and sent to the private cloud and then the data is encrypted again and sent to the public cloud through Asymmetric algorithm. The experimental results showed after a comparison between encryption algorithms less time and less time to decryption are as follows: Blowfish algorithm for symmetric and the DSA algorithm for Asymmetric. The analysis results showed a significant improvement in reducing the resources in the period of time and power energy consumption and processor.",Reduce Resources for Privacy in Mobile Cloud Computing Using Blowfish and DSA Algorithms
"Education is highly important in today's society. It helps to motivate the minds and shape it into intellectuals. Many Academic Institutes are exploring new technologies for effective teaching and learning Methodology. One of the emerging technologies Cloud Computing can be very useful in teaching learning process. As Cloud provides a variety of services, an institute can offer quality education by providing latest infrastructure in terms of hardware and software. This paper focuses on basic introduction of cloud Computing and how cloud computing can be introduced in the education to improve teaching and learning methodology which can bring a revolution in the field of education",Cloud Computing in Education Sector
"As the world context changed dramatically after cold war, global phenomena are being appeared continually. The cyber space, since it arose, together with land space, sea space, air space and outer space, constituted five power spaces, and naturally become a game space for nations. However, features of virtual cyber space are not same as other entities’ features. Hence, this study starts with elaboration current cyber security situation faced by China and US, then, ensures what kind cyber security dilemma China and US in and reveals driving forces behind China and US cyber security dilemma. Further, the study analyses the nature of cyber space which cau",The Origin of Security Dilemma between China and US in Cyber Space
"Global Data Fusion is one of the main technologies used in complex systems. While the application of data fusion has already been proposed for the implementation of specific tools, its extension to the overall design process of a complex system is far from a desired target. The development of advanced architectures based on an interdisciplinary design approach makes this extension possible, especially at the higher levels of the architecture, involving situation assessment, impact assessment and process refinement. This paper analyses one of the advanced cyber security architectures and explores the capability of this architecture to include data fusion tools at the top level of the architecture. The effects of the generalisation of data fusion techniques are then analysed and the consequent improvements in the network security of critical infrastructures are described and quantified.",The Notion of Global Data Fusion and its Application to Cyber Security
"In past decade machine learning (ML) and deep learning (DL), has generated irresistible research interest and attracted unprecedented public attention. With the increasing integration of the Internet and social life, there is change in how people learn and work, but it also exposes them to serious security threats. It is a challenging task to protect sensitive information, data, network and computers connected systems from the unauthorized cyberattacks. For this purpose, effective cyber security is required. Recent technologies such as machine learning and deep learning are integrated with cyberattacks to provide solution to this problem. The paper surveys machine learning and deep learning in cyber security also it discusses the challenges and opportunities of using ML / DL and provides suggestions for research directions.",A survey of cyber security operations based on Machine learning & Deep learning
"Data deduplication is the technique which compresses the data by removing the duplicate copies of identical data and it is extensively used in cloud storage to save bandwidth and minimize the storage space. To secure the confidentiality of sensitive data during deduplication, the convergent encryption technique is used to encrypt the data before outsourcing. For better data protection, this paper talks about the issue of data deduplication authorization. There are several new deduplication implementations providing authorized deduplication verification in a hybrid cloud approach.",A Survey on Authorized Deduplication Techniques in Cloud Computing
"The evolution to network and computational technologies has gone through a remarkable phase of growth and development. The growth curve was indeed very steep in major domain of application of these technologies. The advent of Cloud computing, Big Data analytics, Evolutionary computing, Internet of Things (IoT) etc. has enhanced the implementation avenues of these technologies in various application areas. Cloud computing has emerged as a special area of interest for many researchers keeping in view its huge application-domain scope. Research is being done on different aspects of CC for identifying areas of improvement and their respective remedies. One important issue in CC is that of Security, because of the various threats of working on network architecture. This paper scribbles through various review papers and research papers to identify the threats and security requirements for different levels of use and the corresponding users. It reviews the perspective of the users at various level already described in good quality research papers which highlight security requirements and tries to emphasize on threats faced by users for those security requirements as mix of required security consideration can be better defined if the threats involved are taken into account and their respective remedies can be designed keeping user perspective in mind and their cloud computing usage experiences can be enhanced by following appropriate security measures.",User centric security requirements and threat analysis in Cloud Computing
"Natural hazards are severe events that pose a threat to the sustainment and survival of our society. Every year extreme weather and climate events, such as typhoons, floods, tornadoes, hurricanes, volcanic eruptions, earthquakes, heat waves, droughts, or landslides, claim thousands of lives, cause billions of dollars of damage to property (Smith and Matthews, 2015) and severely impact the environment worldwide (Velev and Zlateva, 2012). Natural hazards become disasters when they cause extensive damage, casualties, and disruption (Vasilescu et al., 2008). Disasters have been increasing in both frequency and severity in the 21st century because of climate change, increasing population, and reliance on aging infrastructure. Recently, major events have caused havoc around the world, such as the 2015 earthquakes in Nepal, the 2015 heat wave in India, the 2011 tsunami in Japan, the 2010 earthquake in Haiti, and the extremely cold winter of 2014/2015 in the United States and in Europe",Usage of Social Media and Cloud Computing During Natural Hazards
"Computing resources in cloud computing with heterogeneous, dynamic, non-balancing and other features, how to allocate resources to fully improve resource utilization and reduce task execution time and energy consumption optimization is the key problem to be faced in cloud computing. According to the basic characteristics of task scheduling in cloud computing environment, this paper proposes an energy consumption optimization model for task scheduling, and proposes a green clonal scheduling optimization algorithm by taking advantage of the clonal operator of immune algorithm. Experimental results show that the proposed algorithm can not only effectively reduce the execution time and energy consumption, and can achieve resource load balancing, thus effectively improve the resource utilization and scheduling efficiency.",A Parallel Task Scheduling Optimization Algorithm Based on Clonal Operator in Green Cloud Computing
"Cloud computing research area has just come up as a latest prototype for delivering, hosting services, in which common utilities (CPU, Storage) are provided to users which can be rented and freed in an on-demand manner over the internet. Even though, it provides various characteristics like on-demand supply of utilities or resources, multi-tenancy, decreased cost, agility etc., and also associated flaws and risks with it. A variety of research issues areas are associated with it and fault tolerance (FT) is one of them. It is the procedure of detecting failures and faults and if a fault takes place due to the hardware/software failure afterward the cloud computing system must also perform correctly. In real time applications, delay in processing due to fault is not accepted in cloud. By using virtualization technique, high availability of resources with minimum down time is achieved. To facilitate this feature a method is used to discover failover in physical servers which further detects failure in the host. FT is essential for the system to assurance both guaranteed availability & continuous reliability of critical application and services execution. So in this, robust Fault Tolerant (RoFT) system is required. To understand fault tolerance in it, it is necessary to know more about various types of failure/faults. Our emphasize in this paper is on essential FT concepts by knowing its policies namely; RFTP (Reactive), PFTP (Proactive) and some related procedures or methods apply on different failures or faults. A lot of research on different FT frameworks, algorithms, methods that are implemented, designed by professional has been accomplishing.",A Comparative Review on Fault Tolerance methods and models in Cloud Computing
"Recent years all are using the cloud server. The reason of using cloud server is easy to use and having the security. With the rapid development of cloud services, lots of new challenges have emerged. One of the most important problems is how to delete the outsourced and shared data which is permanently stored in the cloud storage with secure. In our system, We propose a novel KP-TSABE scheme which is able to achieve the time specified cipher text in order to solve these problems by implementing flexible fine-grained access control during the authorization period and time-controllable self-destruction after expiration to the shared and outsourced data in cloud computing. We also specified a system model and security model for the KP-TSABE scheme. Furthermore, we proved that KP-TSABE is secure under the standard model with decision 1-Expanded BDHI assumption. The comprehensive analysis indicates that the proposed KP-TSABE is superior to other existing schemes.",A Protected Data Self-Slaughter in Cloud Computing
"Agile global software development (AGSD) is an increasingly prevalent software development strategy, as organizations hope to realize the benefits of accessing a larger resource pool of skilled labor, at a potentially reduced cost, while at the same time delivering value incrementally and iteratively. However, the distributed nature of AGSD creates geographic, temporal, socio-cultural distances that challenge collaboration between project stakeholders. The Cloud Computing (CC) service models of Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS) are similar to the aspirant qualities of AGSD as they provide services that are globally accessible, efficient, and stable, with lower predictable operating costs that scale to meet the computational demand. This study focused on the 12 agile principles upon which all agile methodologies are based, therein potentially increasing the potential for the findings to be generalized. Domestication Theory was used to assist in understanding how cloud technologies were appropriated in support of AGSD. The research strategy took the form of case study research. The findings suggest that some of the challenges in applying the agile principles in AGSD may be overcome by using CC.",Cloud Computing as an Enabler of Agile Global Software Development
"Rapid growth of the demand for computational power has led to the creation of large-scale cloud computing data centers.The development of computing systems has always been focused on performance improvements driven by the demand of applications from consumer, scientific and business domains, but the ever increasing energy consumption of computing systems has started to limit further performance growth due to overwhelming energy consumption and carbon dioxide footprints. Hence, the goal of the computer system design has been shifted from performance improvements to power and energy efficiency. Data centers consume enormous amounts of electrical power resulting in high operational costs and carbon dioxide emissions. Moreover, modern Cloud computing environments have to provide high Quality of Service (QoS) for their customers resulting in the necessity to deal with power-performance trade-off. Reducing carbon emission by cloud computing data centers has emerged as one the dominant research topics both in industry and academia. The foremost objective of cloud service providers is to have a cost effective and energy efficient solution for allocating virtualized ICT resources to end-users‘ application while meeting the QoS (Quality of Service) level as per SLA (Service Level Agreement).This paper presents a hybrid energy efficient resource allocation technique which combines predictive with reactive allocation techniques and accomplishes substantial improvements in: (a) meeting SLAs, (b) conserving energy, and (c)meeting static and dynamic resource allocation. In this paper we propose energy-aware allocation heuristics provision data center resources to client applications in a way that utilises the capability of VMs live migration to reallocate resources dynamically and improves energy efficiency of the data center, while delivering the negotiated Quality of Service (QoS). The basic idea is to use a heuristic that is consolidating and rearranging the allocation of resources in an energy efficient manner.",A Pragmatic Approach to Optimize Energy Efficient Resource Allocation Technique in Cloud Computing Data Center
"Pocket electronic dictionaries are a relatively new type of dictionary, having been in existence for just a few years, and their range and quality are increasing. This is a study of their use by students in a tertiary education institution in Hong Kong. It outlines the features of the dictionaries, describes their use, and gives students' views. While students are aware of the weaknesses of these dictionaries, they are attracted by their portability, speed and relative ease of use, and also the availability ofsound. Interviews with teachers indicate that they are more concerned about the weaknesses, although the potential for the use of these dictionaries in language learning is recognized.",Pocket Electronic Dictionaries and their Use
"Background: Pacemaker pocket early post-implantation inflammation (EPII) is defined as clinical signs of local erythema without any systemic signs of infection occurring early after implantation. Data on the best treatment regimen for apparent superficial EPII is scarce. Objectives: To investigate the prognostic value of medical treatment, rather than extraction surgery, in patients with EPII. Methods: Data from 6013 consecutive patients who underwent cardiac implantable electronic device (CIED) implantation or replacement from 2007–2015 were retrospectively analyzed; 40 (0.7%) presented with EPII. Our goal was the absence of major complications and to avoidance of extraction. Results: Patients with EPII were initially treated medically. Nineteen (47%) (group A) recovered with antibiotic treatment only. In the other 21 patients (53%) (group B), CIED extraction was performed. Group B had more major complications compared to group A (15 [71%] vs. 0 [0%], P < 0.001). The only significant difference in baseline characteristics was history of non-initial procedure. While 86% of group B patients had a previous non-initial procedure, only 53% of group A patients underwent previous replacement (P < 0.05). In multivariate analysis, previous non-initial procedure was the only predictor for need of extraction at 1 year, hazard ratio 3.5, 95% confidence interval 1.001–11.73, P < 0.05. Conclusions: Conservative treatment in patients with EPII after non-initial procedure can lead to serious adverse events resulting in the need for extraction. Close follow-up and aggressive treatment should be considered early in the therapeutic course.",Post-cardiac Implantable Electronic Devices: Inflammation of the Pocket. Should We Be More Aggressive?
"MARLIN/Electronic Logsheet terminal designed to record and transmit daily logsheet data electronically was installed to all Philippine Flagged Fishing Vessels Licensed to Operate in HSP1. This paper presents the current status of reporting in terms of the data gathered, frequency of reporting and its reporting processes. Eighteen (18) out of twenty-two (22) vessels operating in HSP1 was able to transmit data for 2013 and twenty nine (30) out of thirty-five (35) fishing vessels for 2014. Data reported is similar with the normal logsheet which includes, vessels departure date and time, position, daily activity, catch species and amount, carrier name and fish hold number used. E-reporting approach can timely provide information that can be advantageous in generating data for immediate for evaluation. However, there is still a need to capacitate the Boat Captains/Officers in performing electronic catch reporting to sustain effective electronic data recording and its reliability",Pilot Test of MARLIN(Electronic Logsheet) Operation in High Seas Pocket 1
"The MSIL to JavaScript compiler is a program that translates MSIL programs into equivalent JavaScript programs can be executed within a browser. This is important because of the new found interesting in using JavaScript to develop AJAX applications that target the browser. The problem is that JavaScript development tools are not suited for building large-scale AJAX applications. The MSIL to JavaScript compiler is an effort to bolster JavaScript development efficiency and ease by allowing developers to use the rich set of development tools available for the .NET platform, and having the resulting program run as a JavaScript/AJAX application. MSIL is the intermediary “byte-code” language used by the .NET platform.",MSIL to JavaScript Compiler
" In  this  paper,  we  present  a  prototype tool  that  automates  the  process  of  detecting, gathering  and  visualizing  multi-language  software metrics  at  an  intermediate-language  level.  More specifically, the current version of our tool focuses on code written using the Microsoft Visual Studio .NET software  development  environment.  It  facilitates  the process  of  locating  and  extracting  software  metrics found  at  the  MSIL  (Microsoft  Intermediate Language) level. We illustrate the basic functionality of  our  tool  and  we  discuss  a  preliminary  case  study performed  in  order  to  verify  its  functionality  and validate  its  usefulness.  Based  on  the  results  of  this study, we continue improving the tool.   Our  broader  research  goal  is  to  show  that complexity  analysis  of  multi-language  software, when  it  is  done  at  an intermediate  language  level, it can be as effective as when conducted at the level of each  individual  language.  This  will  eventually eliminate  the  need  for  developing  different  syntax parsers  for  each  programming  language  used  to develop  multi-language software. The prototype tool described  in  this  paper  is  the  first  step  towards accomplishing such an objective.",A Metrics Tool for Multi-language Software
"The AOSD tools and methodologies have developed in a rapid speed in Java area. However, no matter how homologous .Net and Java are, AOP tools on .Net plat- form are still in experimental stage. The complex infrastructure and multi-language support make it hard to establish aspect-oriented programming on .Net. Microsoft provides Microsoft Intermediate Language(MSIL) to facilitate language implemen- tation on .Net platform. But MSIL doesn't support aspect-oriented languages. To facilitate aspect-oriented language implementation on .Net platform, it is best to provide an aspect-oriented intermediate language. This paper presents CCC, an aspect-oriented intermediate language on .Net plat- form. CCC stands for Common language Cross Cutter. Any aspect-oriented .Net language could first be transformed to CCC and then woven by CCC compiler. Since CCC supports high-level aspect-oriented language constructs directly, such as aspect, there is a little work to do for language implementation and the developers could concentrate on language design.",An Aspect-Oriented Intermediate Language on .Net Platform
"In this paper, we define a hardware Evaluation Stac k for MSIL and we propose a conservative implementation o ver the EPIC architecture. This new hardware evaluation stack, named virtual stack, is based upon the EPIC archite cture's register files. An additional register renaming log ic, to offload the run-time type checking performed by the Common Language Runtime is also proposed. Finally, we introduce a mechanism to overcome the sequential na ture of the evaluation stack allowing the code generator to better use the parallel instructions execution of instruct ion bundles. The virtual stack's final purpose is to si mplify the implementation of fast one-pass JIT compiler.",An MSIL Hardware Evaluation Stack for EPIC
": The purpose of the research is the comparison between the extracting time of the Database Management System (DMS) and XML files for two different platforms - .NET Framework 1.1 and .NET Framework 2.0. The two latest versions of the Microsoft database server are used as Database Management System – SQL Server 2000 and SQL Server 2005. The extraction from the XML file is performed in two different ways – by SAX and DOM parser. The fact, that the typical for Java SAX parser is not realized in .NET, is taken into account, but with some approximation the consecutive reading of elements of the XML file can be used. A special application is developed for testing. The business layout of the application is presented by two web services, respectively working on ASP .NET 2.0 and on ASP .NET 1.1.",Analysis of the Benchmark while Extracting Data from Database or XML File for Different Platforms
"Part of the new .NET platform from Microsoft is the new programming language C# which was first presented in 1999. In many articles, C# was compared with Java and C++, and its new and novel features were presented and discussed. In this article we do not want to elaborate these language extensions (as e.g. properties, events, attributes, operator overloading, etc.) but rather concentrate on some subtle and almost imperceptible language changes in which C# differs from Java. These language refinements enable the compiler to mark potential problems which are otherwise only found by static analyzer tools (as e.g. lint). Programmers can no longer fall into prominent language trap doors and thus save development and debugging time. We hope, that some of these language enhancements find their way back to the Java language.",C # and Java: The Smart Distinctions
"In this approach the .NET framework is used to implement functionality that is rapidly becoming commonplace in the GRID computing and agent communities, capabilities like web service description and remote method invocation. The .NET framework builds upon established standards such as XML (Extended Markup Language) and WSDL (Web Service Description Language) which can be used to describe and publicize robot and agent capabilities. It also supports SOAP (Simple Object Access Protocol) and has built in capabilities for routing and handling service requests over a network using HTTP. Also important is the fact that the .NET framework defines a device independent intermediate language, MSIL, analogous to Java bytecodes which gives us a convenient mechanism for shipping executable content around a network.",A Programming Platform for Distributed Robots based on Microsoft’s .NET Framework
"The use of Aspect Orientation has the potential to increase the separation of concerns and to identify crosscutting aspects. The Composition filters approach to AOP is based on filtering of messages between objects. This allows for more flexible and reusable aspects, in comparison to other approaches like AspectJ. The Microsoft .NET framework is centered around the Common Language Infrastructure. All .NET supported languages are mapped to one common intermediate language. The result is a language independent programming environment where one language can call functions and methods of other languages. The main goal of the Compose* project is to incorporate the composition filters on the .NET intermediate language. With one effort all .NET supported languages are thus made aware of aspects. The combined result is a language independent aspect oriented approach on a language independent programming environment. For instance an aspect written in C# and being imposed on a FORTRAN base system.",Detecting semantic conflicts between aspects
"Modern computer systems depend on many pieces of software gathered together to perform certain activities. That is why various forms of distributed systems are being developed where individual software components come from different developers. Such distributed systems bring a lot of freedom and convenience but when misused they can do a lot of damage. Thus, there is a deep need for various kinds of safety and security at different levels of a software life-cycle. In this work we investigate some notions of safety taking the safety based on contracts into special consideration. We build eXtensible Multi Security - a framework based on the notion of Proof Carrying Code which is a powerful and coherent platform able to unify various notions of safety. We also show how XMS forms a certification framework for Microsoft Intermediate Language and other programming languages of the .NET Platform.",eXtensible Multi Security: Infrastruktura bezpieczenstwa dla platformy .NET
"Fuzzy modelling of power systems can take in account the qualitative aspects and vagueness or uncertainty that have not a random nature and therefore cannot be modelld by a probabilistic approach. This paper presents new fuzzy load flow analysis tools which enable one to incorporate in power system modelling information which is not deterministic nor stochastic about loads and generated powers, often expressed in a qualitative or linguistic way, and obtain results under the form of fuzzy information about voltages, active and reactive power flows and losses. To achieve this, a conceptual framework appropriate to assess the possibility of events is adopted. New fuzzy DC and AC formulations are presented, and the results under the form of possibility distributions obtained for an application study are examined. Adequate linearizing techniques have been adopted to overcome the difficulties related to some special cases where the resulting possibility distributions for currents and losses are described by membership functions that greatly differ from the ones assumed as data.",FUZZY LOAD FLOW - NEW ALGORITHMS INCORPORATING UNCERTAIN GENERATION AND LOAD REPRESENTATION
"Nonlinear devices are being increasingly used in power systems and, as a consequence, harmonic distortion is a continuously growing phenomenon. Since linear and nonlinear loads are usually uncertain variables that, in addition, vary constantly, probabilistic methods for harmonic loadflow calculation have been developed to quantify the resulting random harmonic voltages. More recently, a possibilistic harmonic load-flow based on fuzzy sets theory has been proposed with the same objective. Although the possibilistic approach seems better suited to deal with the kind of uncertainty usually found in practice, the Classic Fuzzy Solution on which this methodology relies exhibits some drawbacks. This paper proposes a possibilistic harmonic load-flow based on the Marginal Joint Solution, which overcomes two major limitations of the Classic Fuzzy Solution approach: the lack of fuzzy linear loads models, and the over-and underestimation of the harmonic voltages.","A FUZZY NUMBER BASED METHODOLOGY FOR HARMONIC LOAD-FLOW CALCULATION, CONSIDERING UNCERTAINTIES"
Load flow calculation is one of the most basic problems in power engineering. The repetitive solution of a large set of linear equations in load flow problem is one of the most time consuming parts of power systems simulations. Load flows are calculated using the traditional method such as Gauss Seidel or Newton Raphson methods. Gauss Seidel algorithm is an iterative numerical procedure and in this method the number of iteration depends on the acceleration factor (?). Here we attempt to choose the acceleration factor (?) using fuzzy logic technique so as to minimize the number of iteration and get the result in minimum required time. Comparison of the method with traditional method has been shown in the paper which proves the validity of the result. The paper shows as to how the application of Fuzzy technique in choosing an appropriate acceleration factor reduces the number of iteration and helps in obtaing the solution at a faster rate with optimum number of iterationThe simulation in carried out in MATLAB environment.,A Fuzzy Based Efficient Load Flow Analysis
"Instability and voltage collapse problem are two common problems in modern distribution systems. The most important task for distribution system is to efficiently simulate the system, identify the sensitive nodes and address the uncertainty using a suitable mathematical model. The paper presents a Fuzzy modeled solution for three phase Radial Power Distribution System (RDS) and simulates Voltage Stability Index (SI) for all the nodes so that the conditions of voltage collapse can be known real time. Uncertainties in Load & Line parameters are modeled as Fuzzy functions, hence results obtained incorporates the uncertainty, can be used as an early warning and is a useful input for planning purposes",Fuzzy Modeled Load Flow Solution for Unbalanced Radial Power Distribution System
"`Abstract: - This paper presents a new approach to solve the load-flow problem using Tanaka's Fuzzy Linear Regression formulation (FLR). The load-flow model is formulated as a fuzzy linear optimization problem, where the objective is to minimize the sum of the spread of the states, subject to double inequality constraints on each pre-specified active and reactive power to guarantee that the original membership is included in the state membership. Linear programming is employed to obtain the middle and the symmetric spread for every state variable. The estimated middle corresponds to the value of the state. While the symmetric spreads in the membership functions of the state variables represents the uncertainty (vagueness) around the state. The proposed formulation has been applied to various test systems. The outcome is very encouraging and proves that proposed (FLR) is very applicable and shows reliability, accuracy in solving the power-flow problem.",Solution of Load-Flow Problem using Fuzzy Linear Regression Approach
"This paper proposes the application of the fuzzy arithmetic algorithm (FAA) in the analysis of radial distribution system power flow in the presence of uncertainties. FAA takes care of the uncertainty in the input parameters and provides strict bounds for the solution of the problem. The sources of uncertainties of the electric quantities of the distribution network are the variation in the temperature which modifies the parameters of the lines, the variation of the tap change of the transformers which modifies the output voltage, the variation in the temperature during the seasons which varies the values of the loads and the input parameters wind and photovoltaic farms such as the speed of the wind and the solar radiations. In this paper all these uncertainties are incorporated using a fuzzy distribution-based fuzzy arithmetic algorithm. IEEE 33-bus test system is used to demonstrate the effectiveness of the proposed algorithm. The results are compared with those obtained from load flow simulations found in a recent publication.",Analysis of Radial Distribution System Load Flow under Uncertainties with Fuzzy Arithmetic Algorithm
"Load flow analysis uncertainty treatment via fuzzy arithmetic is a method which applying fuzzy arithmetic to model vagueness, ambiguity and uncertainties in power system analysis. In this study, trapezoidal method and transformation method have been employed to solve the uncertainties in load flow analysis where LR (left-right) fuzzy arithmetic have been applied to model the uncertainties and another method is by composing fuzzy numbers into intervals by using transformation method. The fuzzy load flow has been performed to get the ouput results. The simulation study is conducted for IEEE 5-bus test system and IEEE 9-bus test system using both methods. The output voltage of the fuzzy load flow has been plotted against their membership function to validate the result in terms of fuzzy distribution and to compare which method is more efficient as solution for load flow uncertainties treatment.",LOAD FLOW ANALYSIS UNCERTAINTY TREATMENT VIA FUZZY ARITHMETIC
"The researchers in electrical energy systems are always developing new models for the electrical networks, trying to incorporate the technicians’ and engineers’ knowledge in computational algorithms to get results as near as of the reality. We applied fuzzy numbers (bell shape) to represent imprecise variables and we present a new technique to electrical distribution system load flow based on fuzzy sets. With this new computational algorithm is possible to deal with information like the voltage in the node k is high and the results can also be interpreted through linguistics terms.",A New Technique to Electrical Distribution System Load Flow Based on Fuzzy Sets
"In 2004, Ken Jennings set a record for the largesttotal winnings and longest undefeated streak onthe television game show Jeopardy ($2.5 millionand 74 days, respectively). In 2011, IBM invitedJeopardy to present the show from its arti?cialintelligence (AI) base in Westchester, NY, andpitted Jennings and another big winner, MattRutter, against Watson, the company’s AI system.Watson utilizes natural language processing (NLP)capabilitiesdwhich enabled it to analyze thequestions posed by Alex Trebekdand has thememory, processing, and machine learning (ML)powers required to compete against humans withtremendous access to general knowledge. Watsonemerged the overwhelming winner of the 2-daytournament. As part of his Final Jeopardyresponse, Jenningsdin a humorous nod to Wat-son’s dominancedadded: “I, for one, welcome ournew computer overlords.",Artificial intelligence and machine learning: What managers need to know
"Depression is a leading source of medical disability and is experienced by over 322 million people worldwide. Despite its increasingly significant burden and a pressing need for effective treatment, depression has been persistently difficult to treat. Current common practice for treatment selection is an educated guess-and-check approach, in which clinicians prescribe one of the numerous approved therapies for depression in a stepwise manner. Though evidence-based clinical guidelines for managing depression exist, there is a paucity of evidence to support specific treatment recommendations. A significant barrier to developing such recommendations is the symptom heterogeneity present in the diagnosis of major depressive disorder. Machine learning offers the ability to recognize this heterogeneity and model that information in psychiatric disorders. Specifically, machine learning allows processing of high-dimensional data, the management of missing data, creating highlevel abstractions, and the freedom of not requiring a priori patient stratification. While ethical concerns arise in employing these methods, the benefits are wide-reaching, from personalizing treatment for depression, to the development of artificial intelligence chats that employ psychotherapy, to predicting social outcomes for patients with mental illness. The implications extend far beyond depression treatment, as the epidemiology and service demand for mental healthcare systems continue to grow. Indeed, psychiatry is primed for innovation in artificial intelligence and machine learning",Primed for Psychiatry: The role of artificial intelligence and machine learning in the optimization of depression treatment
"This report provides an overview of some promising applications of artificial intelligence (AI) in German universities. Although the AI sector is booming, the higher education sector seems to have benefited little from this boom thus far. In any case, schools and universities are relatively low-priority targets in the development of new AI-based systems than, for example, medical diagnostics or individual transport. This report aims to provide initial insights into the relevant applications that are currently being developed at and for universities in Germany in this opaque scenario. To this end, the report was prepared based on a methodological triangulation. In the first step, relevant literature on AI in the university sector and existing state-of-the-art reports of other countries were evaluated. In the second step, an analysis of the official documents of German universities pertaining to AI and digitization strategies was carried out, as far as such papers were available. In the third step, 13 guideline-based expert interviews were conducted to confirm and extend the impressions gained from the relevant literature and from the document analysis. On this empirical basis, a few of the AI systems currently in use at tertiary education institutions are presented, the opportunities and risks associated with their use are discussed, and the future of such systems is discussed. Even if we cannot claim that this report provides a complete picture of the domain, it does highlight important fields of application and lines of development related to AI.",Machine Learning and Artificial Intelligence in Higher Education: A State-of-the-Art Report on the German University Landscape
"This paper discusses selected publications that relate cyber-security to artificial intelligence (AI) in general and to machine learning (ML) specifically. The focus is cyber-security in the context of software development and life-cycle environments (SDLE) and their products. Because of the large volume of publications in this area, the survey includes publications that are themselves surveys of specialized subjects. A few papers are cautionary, pointing out that systems trained using AI/ML can be fooled; one of these papers investigates methods for the design of classifiers that exhibit resilience to adversarial actions and points to other literature in this emerging field. Several references are books, and the discussions of these provide some guidance for those who might be interested in further reading across the breadth of the field. A few relevant publications from the NIST 800 series are included as background to provide an appropriate setting for the discussion of AI/ML as applied to cyber-security.",Utility of Artificial Intelligence and Machine Learning in Cybersecurity
